weight_qld,weight_qqq,cagr,volatility,sharpe,sortino,max_drawdown,calmar,terminal_multiple
0.0,1.0,0.166702687749418,0.22076709753401666,0.8090600993308045,1.0762656002457947,-0.5340339081873422,0.31215749635683754,21.917865503707084
0.01,0.99,0.16777475341247317,0.22286933899829706,0.8076503761222449,1.0727646782968656,-0.5380334107726032,0.3118296188549938,22.324689346561964
0.02,0.98,0.16884330508304135,0.22497350955818596,0.8062647223370734,1.0693011172619968,-0.5420068507367966,0.31151507560009273,22.737311812738884
0.03,0.97,0.16990832985667748,0.22707959082652812,0.8049026011092683,1.065873931126628,-0.5459543408099102,0.3112134425099039,23.155775307339184
0.04,0.96,0.17096981481779205,0.22918756540314003,0.8035634904495981,1.0624821696715991,-0.5498759935440727,0.310924311708634,23.580121608169225
0.05,0.95,0.17202774703960722,0.23129741683421212,0.8022468828010318,1.0591248954562051,-0.553771921312344,0.31064729073285463,24.010391839187026
0.06,0.94,0.17308211358414316,0.23340912957382198,0.8009522846057421,1.055801198117596,-0.5576422363074973,0.3103820017834903,24.446626443676152
0.07,0.9299999999999999,0.17413290150216554,0.23552268894743758,0.7996792158836201,1.0525101986528718,-0.5614870505408317,0.310128081020637,24.88886515712513
0.08,0.92,0.1751800978331728,0.2376380811172941,0.7984272098224335,1.0492510482565423,-0.565306475840962,0.3098851778985392,25.33714697985223
0.09,0.91,0.1762236896053433,0.23975529304953813,0.7971958123793992,1.0460229237513983,-0.5691006238526568,0.3096529545379106,25.791510149348646
0.1,0.9,0.17726366383550873,0.24187431248303692,0.7959845818942507,1.0428250268604835,-0.5728696060356461,0.3094310851333222,26.251992112377394
0.11,0.89,0.17830000752911146,0.24399512789976116,0.7947930887134906,1.0396565856061522,-0.5766135336634648,0.3092192553932919,26.718629496815723
0.12,0.88,0.17933270768016607,0.24611772849665062,0.7936209148257962,1.0365168494534034,-0.5805383739716827,0.3089075859934687,27.191458083260134
0.13,0.87,0.18036175127122522,0.24824210415888187,0.7924676535083323,1.0334050884724046,-0.5845337446826978,0.3085566109945131,27.67051277640179
0.14,0.86,0.18138712527331946,0.25036824543445957,0.7913329089837907,1.0303205941162434,-0.5884977024068254,0.3082206175682356,28.155827576166402
0.15,0.85,0.18240881664594033,0.25249614351006017,0.7902162960879435,1.0272626789102157,-0.5924304413085646,0.30789912861843227,28.647435548662294
