period,70% QQQ / 30% QLD
2006-06,0.022993536287116312
2006-07,-0.057114797373324366
2006-08,0.06052748662998453
2006-09,0.058454535297474575
2006-10,0.06013497719874272
2006-11,0.042128131594649565
2006-12,-0.02561259077626632
2007-01,0.023675209483089432
2007-02,-0.022276741312557635
2007-03,0.005533639399176726
2007-04,0.07068680387763626
2007-05,0.039640761967772775
2007-06,0.004681804991827798
2007-07,-0.00452757826659278
2007-08,0.03223364164777465
2007-09,0.06801950820064473
2007-10,0.0889905154135524
2007-11,-0.08924526963483781
2007-12,-0.003075420606388435
2008-01,-0.1559890550753904
2008-02,-0.059102001650757185
2008-03,0.018387866963372357
2008-04,0.1027254604092116
2008-05,0.07718558277557053
2008-06,-0.12435759837992988
2008-07,0.005804363927621958
2008-08,0.015935747046845528
2008-09,-0.1963302628221676
2008-10,-0.21172571453380717
2008-11,-0.15238912741432153
2008-12,0.02109058693255572
2009-01,-0.03350483651590519
2009-02,-0.07004603547358335
2009-03,0.1315968866154209
2009-04,0.17051561996653253
2009-05,0.03986813133268585
2009-06,0.037359467318573536
2009-07,0.11011922109819361
2009-08,0.018335810515328177
2009-09,0.07348426752139603
2009-10,-0.04066106012590076
2009-11,0.0819307852233262
2009-12,0.06867827735988374
2010-01,-0.08444797581076635
2010-02,0.059519480356930776
2010-03,0.10167327304993257
2010-04,0.028471114684679444
2010-05,-0.0973649931944055
2010-06,-0.07924350147310077
2010-07,0.09405561253413963
2010-08,-0.06661533190798241
2010-09,0.1745697727944706
2010-10,0.08314698277265276
2010-11,-0.003715263414136194
2010-12,0.06223436980996522
2011-01,0.03622550454118878
2011-02,0.04075234572742836
2011-03,-0.00728698833213004
2011-04,0.03742224224525614
2011-05,-0.016980215860527337
2011-06,-0.027238711339459876
2011-07,0.020805418572529932
2011-08,-0.07026181637381124
2011-09,-0.05979102984721518
2011-10,0.13554868938086728
2011-11,-0.03666751447235117
2011-12,-0.009253415504853257
2012-01,0.11068444047438142
2012-02,0.08425554770587929
2012-03,0.06562606026347195
2012-04,-0.015908163138973253
2012-05,-0.09105508235418769
2012-06,0.045619183872922076
2012-07,0.011932754668834367
2012-08,0.06814315582222052
2012-09,0.011072326621936801
2012-10,-0.06880776964971769
2012-11,0.016370132454771147
2012-12,-0.007395774985225256
2013-01,0.03476580999455825
2013-02,0.0038610015066813386
2013-03,0.039372511123211495
2013-04,0.031727661749229696
2013-05,0.04653360374091542
2013-06,-0.03223561753595494
2013-07,0.08332042730467415
2013-08,-0.00590237004124794
2013-09,0.062481688859998386
2013-10,0.06485926882154502
2013-11,0.04553338129645579
2013-12,0.037949507792305326
2014-01,-0.02571294910786348
2014-02,0.06683819065105623
2014-03,-0.0358500762640519
2014-04,-0.005503556345667793
2014-05,0.058376550515686576
2014-06,0.04053413446716969
2014-07,0.014702625096874256
2014-08,0.06526065066799136
2014-09,-0.010323782044126872
2014-10,0.03264811482855534
2014-11,0.059470832193487366
2014-12,-0.030221044299451383
2015-01,-0.02761724683722122
2015-02,0.09469971251645593
2015-03,-0.031402713702667784
2015-04,0.024240212028965757
2015-05,0.02896140397049085
2015-06,-0.03270727413804775
2015-07,0.058684185097860775
2015-08,-0.08995094130059367
2015-09,-0.030263595938324173
2015-10,0.15169486004753052
2015-11,0.007128159556695213
2015-12,-0.021888813940509122
2016-01,-0.09002457931574448
2016-02,-0.021903717245136067
2016-03,0.0894999567554069
2016-04,-0.04201171781428947
2016-05,0.05653313454921571
2016-06,-0.030844719750884875
2016-07,0.09400454981004569
2016-08,0.01309467408137599
2016-09,0.027850674880336213
2016-10,-0.019410648395225993
2016-11,0.004806108426227196
2016-12,0.014336197566041209
2017-01,0.06672381401264271
2017-02,0.05691718760396092
2017-03,0.025765716032843278
2017-04,0.03504442542476194
2017-05,0.05016810693063278
2017-06,-0.0316598042086732
2017-07,0.05306775689911736
2017-08,0.025218955124481246
