strategy,qqq_weight,qld_weight,effective_daily_exposure,cagr,volatility,sharpe,sortino,max_drawdown,calmar,terminal_multiple
70% QQQ / 30% QLD,0.7,0.3,1.3,0.19728336823334014,0.2846211524017125,0.7754099762489862,0.9841718405416796,-0.6478047325838916,0.3045414124198169,36.79601821323772
100% QQQ,1.0,0.0,1.0,0.166702687749418,0.22076709753401666,0.8090600993308045,1.0762656002457947,-0.5340339081873422,0.31215749635683754,21.917865503707084
100% QLD,0.0,1.0,2.0,0.2543805360296263,0.4397878151896487,0.7364188987696039,0.8208036814551563,-0.8312891616682943,0.3060072809311216,93.52542395871521
